# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   233528192.       174653840.       408182016.    
  -1.35333330E-05   1.88959048E+10   5.53098240E+10   7.42057247E+10
  -3.53333326E-06   1.09671449E+11   9.26861066E+10   2.02357555E+11
   6.46666649E-06   1.15106374E+11   1.04940290E+11   2.20046655E+11
   1.64666671E-05   1.12053912E+11   1.04309989E+11   2.16363893E+11
   2.64666669E-05   1.15085206E+11   1.01632803E+11   2.16718017E+11
   3.64666666E-05   1.16654998E+11   9.90413537E+10   2.15696343E+11
   4.64666664E-05   1.14065220E+11   1.02367683E+11   2.16432902E+11
   5.64666661E-05   1.19941202E+11   9.64538532E+10   2.16395055E+11
   6.64666659E-05   1.12826810E+11   1.03874585E+11   2.16701403E+11
   7.64666693E-05   1.13345929E+11   1.02891717E+11   2.16237638E+11
   8.64666654E-05   1.10810243E+11   1.04925495E+11   2.15735730E+11
   9.64666688E-05   1.11742190E+11   1.04178360E+11   2.15920542E+11
   1.06466665E-04   1.13764368E+11   1.00039885E+11   2.13804253E+11
   1.16466668E-04   1.18972482E+11   9.35072645E+10   2.12479738E+11
   1.26466664E-04   1.13263165E+11   9.70450534E+10   2.10308219E+11
   1.36466668E-04   1.10218813E+11   9.79857818E+10   2.08204595E+11
   1.46466671E-04   1.05311142E+11   1.00315587E+11   2.05626737E+11
   1.56466660E-04   1.10390837E+11   9.41189120E+10   2.04509741E+11
   1.66466663E-04   1.07257790E+11   9.37545810E+10   2.01012380E+11
   1.76466667E-04   1.05586336E+11   9.17496381E+10   1.97335974E+11
   1.86466670E-04   9.89149676E+10   9.23680686E+10   1.91283036E+11
   1.96466674E-04   9.80737475E+10   8.87239967E+10   1.86797752E+11
   2.06466662E-04   9.42600847E+10   8.56270684E+10   1.79887145E+11
   2.16466666E-04   9.29669202E+10   8.26846659E+10   1.75651586E+11
   2.26466669E-04   9.23185807E+10   7.85965793E+10   1.70915168E+11
   2.36466673E-04   9.05734062E+10   7.77016033E+10   1.68275018E+11
   2.46466661E-04   8.58344243E+10   8.00873103E+10   1.65921735E+11
   2.56466679E-04   8.75621007E+10   7.71891855E+10   1.64751278E+11
   2.66466668E-04   8.63716803E+10   7.68396247E+10   1.63211313E+11
   2.76466657E-04   8.89189990E+10   7.34363812E+10   1.62355380E+11
   2.86466675E-04   8.54166159E+10   7.56244398E+10   1.61041056E+11
   2.96466664E-04   8.44228444E+10   7.55090391E+10   1.59931892E+11
   3.06466653E-04   8.35112387E+10   7.50710702E+10   1.58582309E+11
   3.16466670E-04   8.46674575E+10   7.27938908E+10   1.57461348E+11
   3.26466659E-04   8.37437850E+10   7.15519427E+10   1.55295728E+11
   3.36466677E-04   8.21161165E+10   7.20471163E+10   1.54163233E+11
   3.46466666E-04   8.08804434E+10   7.17834158E+10   1.52663851E+11
   3.56466655E-04   8.04130570E+10   7.16197806E+10   1.52032838E+11
   3.66466673E-04   8.09300132E+10   7.00019753E+10   1.50931997E+11
   3.76466662E-04   8.29952573E+10   6.73854546E+10   1.50380708E+11
   3.86466680E-04   7.91469916E+10   7.06339308E+10   1.49780922E+11
   3.96466668E-04   7.92055235E+10   6.91209011E+10   1.48326416E+11
   4.06466657E-04   7.91571907E+10   6.87356969E+10   1.47892896E+11
   4.16466675E-04   7.63474821E+10   6.93287485E+10   1.45676239E+11
   4.26466664E-04   7.41638881E+10   7.00126413E+10   1.44176529E+11
   4.36466653E-04   7.83101952E+10   6.53719798E+10   1.43682175E+11
   4.46466671E-04   7.17598065E+10   7.01574513E+10   1.41917258E+11
   4.56466660E-04   7.38093384E+10   6.72948101E+10   1.41104153E+11
   4.66466678E-04   7.49929185E+10   6.52652708E+10   1.40258181E+11
   4.76466666E-04   7.63212677E+10   6.34160742E+10   1.39737334E+11
   4.86466655E-04   7.38531820E+10   6.48990515E+10   1.38752229E+11
   4.96466644E-04   7.53509908E+10   6.23646843E+10   1.37715679E+11
   5.06466662E-04   7.28553226E+10   6.36056248E+10   1.36460943E+11
   5.16466680E-04   7.12293499E+10   6.45383127E+10   1.35767663E+11
   5.26466640E-04   7.13510011E+10   6.33001902E+10   1.34651191E+11
   5.36466658E-04   7.28618926E+10   6.09681572E+10   1.33830050E+11
   5.46466676E-04   7.17151273E+10   6.04819948E+10   1.32197122E+11
   5.56466694E-04   7.33757112E+10   5.72758712E+10   1.30651587E+11
   5.66466653E-04   6.69140705E+10   6.19361976E+10   1.28850264E+11
