# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.95180719E+18   3.60818704E+18   6.55999423E+18
  -1.35333330E-05   9.99425723E+19   1.45768871E+20   2.45711435E+20
  -3.53333326E-06   9.20983942E+20   2.34579275E+20   1.15556322E+21
   6.46666649E-06   4.18333670E+20   6.77476562E+20   1.09581023E+21
   1.64666671E-05   7.87975264E+20   3.17899352E+20   1.10587465E+21
   2.64666669E-05   3.54169795E+20   7.52765419E+20   1.10693525E+21
   3.64666666E-05   6.25940324E+20   4.80170309E+20   1.10611067E+21
   4.64666664E-05   5.70686012E+20   5.35419871E+20   1.10610588E+21
   5.64666661E-05   4.76803024E+20   6.29421395E+20   1.10622438E+21
   6.64666659E-05   6.82545223E+20   4.23034442E+20   1.10557967E+21
   7.64666693E-05   4.13785351E+20   6.92350545E+20   1.10613586E+21
   8.64666654E-05   6.65144229E+20   4.40325556E+20   1.10546975E+21
   9.64666688E-05   4.73469762E+20   6.32291455E+20   1.10576122E+21
   1.06466665E-04   5.48894641E+20   5.56635520E+20   1.10553013E+21
   1.16466668E-04   6.46640979E+20   4.58470875E+20   1.10511185E+21
   1.26466664E-04   4.52685052E+20   6.52827658E+20   1.10551267E+21
   1.36466668E-04   5.83595686E+20   5.21577741E+20   1.10517343E+21
   1.46466671E-04   5.88666387E+20   5.16395259E+20   1.10506161E+21
   1.56466660E-04   4.69313643E+20   6.35852817E+20   1.10516646E+21
   1.66466663E-04   6.24620206E+20   4.80148284E+20   1.10476845E+21
   1.76466667E-04   5.72193451E+20   5.32589359E+20   1.10478281E+21
   1.86466670E-04   4.80749022E+20   6.24211856E+20   1.10496084E+21
   1.96466674E-04   6.23983299E+20   4.80670103E+20   1.10465340E+21
   2.06466662E-04   4.81987793E+20   6.22767819E+20   1.10475565E+21
   2.16466666E-04   6.15134147E+20   4.89474042E+20   1.10460815E+21
   2.26466669E-04   5.22114479E+20   5.82482980E+20   1.10459746E+21
   2.36466673E-04   5.71715295E+20   5.32799339E+20   1.10451463E+21
   2.46466661E-04   5.59063417E+20   5.45649551E+20   1.10471300E+21
   2.56466679E-04   4.78518086E+20   6.25909502E+20   1.10442759E+21
   2.66466668E-04   6.41168824E+20   4.63315869E+20   1.10448473E+21
   2.76466657E-04   5.24637515E+20   5.79585687E+20   1.10422324E+21
   2.86466675E-04   5.07606977E+20   5.96948190E+20   1.10455517E+21
   2.96466664E-04   6.67607627E+20   4.36571700E+20   1.10417933E+21
   3.06466653E-04   4.17309452E+20   6.86991472E+20   1.10430092E+21
   3.16466670E-04   6.29473046E+20   4.75008621E+20   1.10448163E+21
   3.26466659E-04   5.55596525E+20   5.48258086E+20   1.10385465E+21
   3.36466677E-04   5.46663565E+20   5.57713991E+20   1.10437756E+21
   3.46466666E-04   5.42234838E+20   5.62018025E+20   1.10425286E+21
   3.56466655E-04   5.69108204E+20   5.34705664E+20   1.10381383E+21
   3.66466673E-04   5.27142466E+20   5.77475364E+20   1.10461787E+21
   3.76466662E-04   5.49845604E+20   5.53676408E+20   1.10352201E+21
   3.86466680E-04   6.08697448E+20   4.95414888E+20   1.10411234E+21
   3.96466668E-04   5.14160383E+20   5.89885209E+20   1.10404563E+21
   4.06466657E-04   5.53793748E+20   5.49749446E+20   1.10354319E+21
   4.16466675E-04   5.70009381E+20   5.34317439E+20   1.10432682E+21
   4.26466664E-04   5.23555490E+20   5.79859950E+20   1.10341540E+21
   4.36466653E-04   5.90067253E+20   5.13849212E+20   1.10391643E+21
   4.46466671E-04   5.38238386E+20   5.65453497E+20   1.10369188E+21
   4.56466660E-04   5.60390255E+20   5.43208354E+20   1.10359864E+21
   4.66466678E-04   5.35327758E+20   5.68610626E+20   1.10393838E+21
   4.76466666E-04   5.19847374E+20   5.83726783E+20   1.10357416E+21
   4.86466655E-04   6.59774390E+20   4.43779887E+20   1.10355431E+21
   4.96466644E-04   4.19579020E+20   6.84336811E+20   1.10391587E+21
   5.06466662E-04   6.88556684E+20   4.14755489E+20   1.10331217E+21
   5.16466680E-04   4.62402694E+20   6.41640294E+20   1.10404295E+21
   5.26466640E-04   5.47034971E+20   5.56593685E+20   1.10362862E+21
   5.36466658E-04   6.05594609E+20   4.98020995E+20   1.10361560E+21
   5.46466676E-04   5.07767875E+20   5.96082303E+20   1.10385014E+21
   5.56466694E-04   5.76553991E+20   5.26955461E+20   1.10350942E+21
   5.66466653E-04   5.55524714E+20   5.48295170E+20   1.10381988E+21
