# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.95184540E+18   3.60823020E+18   6.56007560E+18
  -1.35333330E-05   9.99413585E+19   1.45769874E+20   2.45711224E+20
  -3.53333326E-06   9.21001323E+20   2.34572045E+20   1.15557335E+21
   6.46666649E-06   4.18308513E+20   6.77502106E+20   1.09581065E+21
   1.64666671E-05   7.88061536E+20   3.17808365E+20   1.10586987E+21
   2.64666669E-05   3.54100658E+20   7.52828751E+20   1.10692941E+21
   3.64666666E-05   6.25996830E+20   4.80138010E+20   1.10613487E+21
   4.64666664E-05   5.70747514E+20   5.35336555E+20   1.10608407E+21
   5.64666661E-05   4.76534075E+20   6.29673808E+20   1.10620792E+21
   6.64666659E-05   6.82882219E+20   4.22749766E+20   1.10563202E+21
   7.64666693E-05   4.13570656E+20   6.92523792E+20   1.10609448E+21
   8.64666654E-05   6.65021435E+20   4.40535290E+20   1.10555673E+21
   9.64666688E-05   4.73788216E+20   6.31981129E+20   1.10576938E+21
   1.06466665E-04   5.48525205E+20   5.57029303E+20   1.10555447E+21
   1.16466668E-04   6.46651886E+20   4.58525552E+20   1.10517744E+21
   1.26466664E-04   4.53155713E+20   6.52409668E+20   1.10556538E+21
   1.36466668E-04   5.82884469E+20   5.22393913E+20   1.10527835E+21
   1.46466671E-04   5.89490722E+20   5.15709234E+20   1.10519996E+21
   1.56466660E-04   4.68455004E+20   6.36874501E+20   1.10532950E+21
   1.66466663E-04   6.25280757E+20   4.79698909E+20   1.10497970E+21
   1.76466667E-04   5.72018549E+20   5.33044961E+20   1.10506351E+21
   1.86466670E-04   4.80261437E+20   6.24806191E+20   1.10506766E+21
   1.96466674E-04   6.25284346E+20   4.79777370E+20   1.10506175E+21
   2.06466662E-04   4.80518669E+20   6.24436544E+20   1.10495521E+21
   2.16466666E-04   6.15860001E+20   4.88899059E+20   1.10475903E+21
   2.26466669E-04   5.22621239E+20   5.82367294E+20   1.10498857E+21
   2.36466673E-04   5.70610647E+20   5.34086172E+20   1.10469682E+21
   2.46466661E-04   5.60505308E+20   5.44291083E+20   1.10479639E+21
   2.56466679E-04   4.77472020E+20   6.27288237E+20   1.10476029E+21
   2.66466668E-04   6.41898196E+20   4.62662636E+20   1.10456087E+21
   2.76466657E-04   5.23887912E+20   5.80422196E+20   1.10431007E+21
   2.86466675E-04   5.08276289E+20   5.96510145E+20   1.10478647E+21
   2.96466664E-04   6.67295331E+20   4.36849234E+20   1.10414457E+21
   3.06466653E-04   4.17181839E+20   6.87351690E+20   1.10453356E+21
   3.16466670E-04   6.29568888E+20   4.74791146E+20   1.10436003E+21
   3.26466659E-04   5.55928912E+20   5.48158514E+20   1.10408743E+21
   3.36466677E-04   5.45673617E+20   5.58673856E+20   1.10434751E+21
   3.46466666E-04   5.43551507E+20   5.60653434E+20   1.10420494E+21
   3.56466655E-04   5.68583534E+20   5.35536754E+20   1.10412029E+21
   3.66466673E-04   5.26322741E+20   5.78036660E+20   1.10435940E+21
   3.76466662E-04   5.50743826E+20   5.53120249E+20   1.10386408E+21
   3.86466680E-04   6.08605687E+20   4.95568855E+20   1.10417454E+21
   3.96466668E-04   5.12799240E+20   5.91283788E+20   1.10408306E+21
   4.06466657E-04   5.56273895E+20   5.47628637E+20   1.10390250E+21
   4.16466675E-04   5.67997996E+20   5.36322245E+20   1.10432021E+21
   4.26466664E-04   5.23980974E+20   5.79810903E+20   1.10379188E+21
   4.36466653E-04   5.90699234E+20   5.13276024E+20   1.10397526E+21
   4.46466671E-04   5.37815681E+20   5.66259958E+20   1.10407560E+21
   4.56466660E-04   5.60608785E+20   5.43207721E+20   1.10381651E+21
   4.66466678E-04   5.35684985E+20   5.68339918E+20   1.10402494E+21
   4.76466666E-04   5.19630145E+20   5.84345816E+20   1.10397596E+21
   4.86466655E-04   6.59309112E+20   4.44361977E+20   1.10367112E+21
   4.96466644E-04   4.19686509E+20   6.84262924E+20   1.10394943E+21
   5.06466662E-04   6.89501666E+20   4.14261078E+20   1.10376274E+21
   5.16466680E-04   4.61150024E+20   6.42899684E+20   1.10404971E+21
   5.26466640E-04   5.47424990E+20   5.56226888E+20   1.10365184E+21
   5.36466658E-04   6.06835421E+20   4.97203556E+20   1.10403901E+21
   5.46466676E-04   5.05300395E+20   5.98378998E+20   1.10367943E+21
   5.56466694E-04   5.78617414E+20   5.25034606E+20   1.10365198E+21
   5.66466653E-04   5.55982181E+20   5.48141872E+20   1.10412402E+21
